source,target,year
United States,CoCom,1950
United States,New Zealand,2022
United States,Organization of American States,2009
United States,South Africa,2023
United States,United Kingdom,2022
United States,Hong Kong,1951
United States,UN,2022
United States,South Vietnam,1954
United States,France,2023
United States,Venezuela,2009
United States,Colombia,2023
United States,Costa Rica,1962
United States,Dominican Republic,1962
United States,Germany,2023
United States,Malaya,1963
United States,Switzerland,2023
United States,Italy,2022
United States,Sweden,2023
United States,India,2005
United States,Mexico,2003
United States,Canada,2023
United States,Australia,2021
United States,Japan,2023
United States,Thailand,1975
United States,Denmark,2023
United States,NATO,1981
United States,EEC,1990
United States,Belgium,2015
United States,Netherlands,2023
United States,Commonwealth,2006
United States,Finland,2021
United States,Iceland,2022
United States,Norway,2023
United States,Turkey,2023
United States,Kuwait,1990
United States,CSCE,1992
United States,Portugal,1992
United States,Spain,2002
United States,EU,2023
United States,Kiribati,1995
United States,Nauru,1995
United States,Cyprus,1998
United States,Malta,1996
United States,Croatia,2013
United States,Macedonia,2023
United States,Montenegro,2023
United States,Albania,2023
United States,Serbia,2021
United States,Bosnia and Herzegovina,2017
United States,Liechtenstein,2023
United States,Ukraine,2021
United States,Moldova,2023
United States,Armenia,2012
United States,Georgia,2017
United States,Congo,1996
United States,Democratic Republic of the,1996
United States,Eritrea,1996
United States,Ethiopia (excludes Eritrea),1996
United States,Kenya,1996
United States,Rwanda,1996
United States,Tanzania,1996
United States,Uganda,1996
United States,Zambia,1996
United States,Organisation of African Unity,1996
United States,Bulgaria,1998
United States,Czech Republic,2023
United States,Estonia,2023
United States,Hungary,1998
United States,Romania,1998
United States,Slovakia,1998
United States,Slovenia,1998
United States,Sweden,1998
United States,Luxembourg,2002
United States,Ireland,2002
United States,Greece,2002
United States,Austria,2023
United States,China,2003
United States,African Union,2022
United States,South Korea,2023
United States,The Gambia,2011
United States,Algeria,2012
United States,Russia,2020
United States,Burkina Faso,2017
United States,Norway,2017
United States,Peru,2017
United States,Lithuania,2023
United States,ECOWAS,2023
United States,Saudi Arabia,2021
United States,Singapore,2022
United States,Taiwan,2022
United States,Kosovo,2022
United States,G7,2022
United States,Monaco,2022
United States,Poland,2023
United States,Honduras,2023
United States,Latvia,2023
United States,"Bosnia and Herzegovina,Iceland",2023
United States,Bahrain,2023
United States,Belize,2023
United States,Bolivia,2023
United States,Chile,2023
United States,Jordan,2023
United States,Korea,2023
United States,South,2023
United States,Kazakhstan,2023
CoCom,New Zealand,1950
CoCom,Organization of American States,1950
CoCom,South Africa,1950
CoCom,United Kingdom,1950
CoCom,Austria,1950
CoCom,Finland,1950
CoCom,Sweden,1950
CoCom,Switzerland,1950
New Zealand,Organization of American States,1950
New Zealand,South Africa,1950
New Zealand,United Kingdom,2022
New Zealand,Australia,2014
New Zealand,Canada,2022
New Zealand,EEC,1982
New Zealand,Norway,2022
New Zealand,Switzerland,2014
New Zealand,Commonwealth,2006
New Zealand,India,1987
New Zealand,Japan,2014
New Zealand,Denmark,1995
New Zealand,Kiribati,1995
New Zealand,Nauru,1995
New Zealand,Sweden,1995
New Zealand,EU,2022
New Zealand,Pacific Islands Forum,2009
New Zealand,Montenegro,2021
New Zealand,Albania,2022
New Zealand,Liechtenstein,2022
New Zealand,Ukraine,2014
New Zealand,Iceland,2022
New Zealand,Macedonia,2022
New Zealand,Serbia,2021
New Zealand,Germany,2022
New Zealand,Singapore,2022
New Zealand,Taiwan,2022
New Zealand,Kosovo,2022
New Zealand,France,2022
New Zealand,G7,2022
New Zealand,Monaco,2022
New Zealand,Italy,2022
Organization of American States,South Africa,1950
Organization of American States,United Kingdom,1950
Organization of American States,Canada,1991
Organization of American States,France,1991
Organization of American States,Venezuela,2009
Organization of American States,EU,2009
South Africa,United Kingdom,1999
South Africa,UN,1996
South Africa,Commonwealth,1999
South Africa,Colombia,2023
South Africa,Honduras,2023
South Africa,Ukraine,2023
South Africa,Bahrain,2023
South Africa,Belize,2023
South Africa,Bolivia,2023
South Africa,Chile,2023
South Africa,Jordan,2023
South Africa,Turkey,2023
United Kingdom,France,2021
United Kingdom,India,2005
United Kingdom,Japan,1996
United Kingdom,UN,1986
United Kingdom,Denmark,2023
United Kingdom,Norway,2023
United Kingdom,Canada,2023
United Kingdom,Australia,2023
United Kingdom,Switzerland,2023
United Kingdom,Germany,2023
United Kingdom,Mexico,1974
United Kingdom,Belgium,2002
United Kingdom,EEC,1991
United Kingdom,Italy,2022
United Kingdom,Kuwait,1990
United Kingdom,Saudi Arabia,2021
United Kingdom,Portugal,1992
United Kingdom,EU,2022
United Kingdom,Kiribati,1995
United Kingdom,Nauru,1995
United Kingdom,Sweden,2023
United Kingdom,Netherlands,2012
United Kingdom,Commonwealth,2002
United Kingdom,Turkey,2002
United Kingdom,Iceland,2022
United Kingdom,Liechtenstein,2023
United Kingdom,Luxembourg,2002
United Kingdom,Ireland,2005
United Kingdom,Greece,2002
United Kingdom,Spain,2014
United Kingdom,Austria,2023
United Kingdom,Finland,2021
United Kingdom,Croatia,2002
United Kingdom,Macedonia,2023
United Kingdom,Montenegro,2023
United Kingdom,Albania,2023
United Kingdom,Bosnia and Herzegovina,2002
United Kingdom,Serbia,2021
United Kingdom,Ukraine,2023
United Kingdom,Moldova,2023
United Kingdom,Armenia,2002
United Kingdom,Georgia,2002
United Kingdom,Czech Republic,2023
United Kingdom,African Union,2021
United Kingdom,ECOWAS,2022
United Kingdom,Singapore,2022
United Kingdom,Taiwan,2022
United Kingdom,Kosovo,2022
United Kingdom,G7,2022
United Kingdom,Monaco,2022
United Kingdom,Poland,2023
United Kingdom,Estonia,2023
United Kingdom,Latvia,2023
United Kingdom,Lithuania,2023
United Kingdom,"Bosnia and Herzegovina,Iceland",2023
United Kingdom,Kazakhstan,2023
Austria,Finland,2002
Austria,Sweden,2023
Austria,Switzerland,2023
Austria,Belgium,2002
Austria,France,2002
Austria,Germany,2023
Austria,Italy,2002
Austria,Luxembourg,2002
Austria,Netherlands,2002
Austria,Denmark,2023
Austria,Ireland,2002
Austria,Greece,2002
Austria,Spain,2002
Austria,Canada,2023
Finland,Sweden,2019
Finland,Switzerland,1950
Finland,Belgium,2002
Finland,Denmark,2002
Finland,German Democratic Republic,1973
Finland,Germany,2021
Finland,Soviet Union,1973
Finland,Norway,1985
Finland,Netherlands,2002
Finland,France,2002
Finland,Australia,1985
Finland,Commonwealth,1985
Finland,Iceland,1985
Finland,EEC,1985
Finland,Italy,2002
Finland,Luxembourg,2002
Finland,Ireland,2002
Finland,Greece,2002
Finland,Spain,2002
Finland,EU,2019
Finland,Czech Republic,2021
Sweden,Switzerland,2023
Sweden,Italy,2002
Sweden,Belgium,2002
Sweden,Denmark,2023
Sweden,German Democratic Republic,1973
Sweden,Germany,2023
Sweden,Soviet Union,1973
Sweden,Norway,2005
Sweden,Netherlands,2012
Sweden,France,2002
Sweden,Australia,1995
Sweden,Commonwealth,1985
Sweden,Iceland,1985
Sweden,EEC,1985
Sweden,Japan,1996
Sweden,Kiribati,1995
Sweden,Nauru,1995
Sweden,Luxembourg,2002
Sweden,Ireland,2005
Sweden,Greece,2002
Sweden,Spain,2002
Sweden,EU,2019
Sweden,Canada,2023
Switzerland,UN,2016
Switzerland,Denmark,2023
Switzerland,Norway,2022
Switzerland,Canada,2016
Switzerland,Australia,2016
Switzerland,Germany,2023
Switzerland,EEC,1982
Switzerland,EU,2021
Switzerland,Cyprus,2001
Switzerland,Malta,2001
Switzerland,Turkey,2014
Switzerland,Croatia,2014
Switzerland,Macedonia,2022
Switzerland,Montenegro,2014
Switzerland,Iceland,2022
Switzerland,Albania,2022
Switzerland,Serbia,2014
Switzerland,Bosnia and Herzegovina,2014
Switzerland,Liechtenstein,2022
Switzerland,Ukraine,2002
Switzerland,Moldova,2011
Switzerland,Armenia,2014
Switzerland,Georgia,2014
Switzerland,Commonwealth,2002
Switzerland,African Union,2012
Switzerland,ECOWAS,2012
Switzerland,The Gambia,2011
Switzerland,OIC,2012
Switzerland,Russia,2014
Switzerland,Djibouti,2016
Switzerland,Singapore,2022
Switzerland,Taiwan,2022
Switzerland,Kosovo,2022
Switzerland,France,2022
Switzerland,G7,2022
Switzerland,Monaco,2022
Switzerland,Italy,2022
Switzerland,Poland,2023
Switzerland,Estonia,2023
Switzerland,Latvia,2023
Switzerland,Lithuania,2023
Switzerland,Czech Republic,2023
Switzerland,Kazakhstan,2023
Egypt,France,1950
Egypt,League of Arab States,1950
Egypt,Arab Rep.,2017
Egypt,Syria,1957
Egypt,Chad,2017
Egypt,Libya,2017
Egypt,Maldives,2017
Egypt,Mauritania,2017
Egypt,Djibouti,2017
Egypt,Comoros,2017
Egypt,Jordan,2017
Egypt,Yemen,2017
Egypt,North,2017
Egypt,Niger,2017
Egypt,Saudi Arabia,2017
Egypt,United Arab Emirates,2017
Egypt,Bahrain,2017
Egypt,Senegal,2017
France,League of Arab States,1950
France,Czechoslovakia,1968
France,Netherlands,2023
France,Italy,2022
France,Belgium,2002
France,China,1978
France,Australia,2022
France,Commonwealth,1985
France,Denmark,2022
France,Iceland,2022
France,Norway,2022
France,EEC,1986
France,Japan,2022
France,UN,1986
France,Venezuela,1991
France,Portugal,1992
France,EU,2023
France,Germany,2022
France,Congo,1996
France,Democratic Republic of the,1996
France,Eritrea,1996
France,Ethiopia (excludes Eritrea),1996
France,Kenya,1996
France,Rwanda,1996
France,Tanzania,1996
France,Uganda,1996
France,Zambia,1996
France,Organisation of African Unity,1996
France,Canada,2023
France,Luxembourg,2002
France,Ireland,2002
France,Greece,2002
France,Spain,2002
France,African Union,2023
France,ECOWAS,2023
France,Algeria,2012
France,Albania,2022
France,Macedonia,2022
France,South Korea,2022
France,Poland,2022
France,Singapore,2022
France,Taiwan,2022
France,Kosovo,2022
France,G7,2022
France,Liechtenstein,2022
France,Monaco,2022
League of Arab States,Organisation of African Unity,1973
League of Arab States,Bosnia and Herzegovina,2011
League of Arab States,Armenia,2011
League of Arab States,Georgia,2011
League of Arab States,UN,2011
League of Arab States,The Gambia,2011
Hong Kong,UN,1951
Hong Kong,South Korea,2022
Hong Kong,China,2023
UN,Denmark,1986
UN,Norway,2012
UN,Canada,2022
UN,Australia,2016
UN,Germany,1966
UN,EEC,1991
UN,Japan,1990
UN,EU,2018
UN,ECOWAS,2012
UN,Cyprus,2002
UN,Malta,2002
UN,Turkey,2012
UN,Croatia,2012
UN,Macedonia,2012
UN,Montenegro,2012
UN,Iceland,2012
UN,Albania,2012
UN,Serbia,2012
UN,Bosnia and Herzegovina,2012
UN,Liechtenstein,2012
UN,Ukraine,2012
UN,Moldova,2012
UN,Armenia,2012
UN,Georgia,2011
UN,Commonwealth,1997
UN,Czech Republic,2002
UN,Estonia,2002
UN,Hungary,2002
UN,Latvia,2002
UN,Lithuania,2002
UN,Poland,2002
UN,Slovakia,2002
UN,Slovenia,2002
UN,Bulgaria,2002
UN,Romania,2002
UN,Israel,2006
UN,Russia,2009
UN,South Korea,2010
UN,The Gambia,2011
UN,African Union,2013
UN,Kimberly Process Participants,2013
UN,Djibouti,2016
ChinCom,Japan,1952
Japan,India,1964
Japan,Australia,2023
Japan,Germany,2022
