source,target,year
AUS,IDN,1988
AUS,ARE,1988
AUS,MYS,1988
KOR,OMN,1988
KOR,ARE,1988
KOR,MYS,1988
PRT,NGA,1988
PRT,SAU,1988
PRT,IRQ,1988
IDN,AUS,1988
ITA,CHE,1988
SGP,AUS,1988
CAN,CHE,1988
FRA,GRC,1988
FRA,CHE,1988
FRA,DEU,1988
CHE,LBY,1988
CHE,GBR,1988
CHE,DZA,1988
THA,ARE,1988
THA,BRN,1988
THA,MYS,1988
JPN,ARE,1988
JPN,SAU,1988
JPN,IDN,1988
IND,SAU,1988
IND,ARE,1988
IND,KWT,1988
AUT,DEU,1988
DEU,GBR,1988
DEU,LBY,1988
DEU,DZA,1988
BEL,DEU,1988
GRC,LBY,1988
GRC,SUN,1988
GRC,KWT,1988
NLD,DEU,1988
FIN,SUN,1988
FIN,SAU,1988
CHN,CHE,1988
NZL,AUS,1988
USA,AUS,1988
USA,DEU,1988
USA,CHE,1988
BGR,CHE,1988
DNK,CHE,1988
GIN,CHE,1988
LBN,CHE,1988
MMR,AUS,1988
HKG,AUS,1988
PHL,AUS,1988
MDV,DEU,1988
AUS,ARE,1989
AUS,SAU,1989
AUS,IDN,1989
PRT,NGA,1989
PRT,IRQ,1989
PRT,ARE,1989
MEX,DEU,1989
NGA,DNK,1989
NOR,DNK,1989
ESP,NGA,1989
ESP,MEX,1989
ESP,IRN,1989
ROU,IRN,1989
ROU,SAU,1989
ROU,SUN,1989
CHN,IDN,1989
CHN,MYS,1989
IND,ARE,1989
IND,SAU,1989
IND,SUN,1989
KWT,DEU,1989
MYS,SAU,1989
MYS,ARE,1989
MYS,KWT,1989
KOR,OMN,1989
KOR,ARE,1989
KOR,MYS,1989
JPN,ARE,1989
JPN,SAU,1989
JPN,IDN,1989
SGP,SAU,1989
SGP,ARE,1989
SGP,MYS,1989
USA,CAN,1989
USA,IDN,1989
USA,AUS,1989
DEU,GBR,1989
DEU,LBY,1989
DEU,NOR,1989
DZA,CYP,1989
PRY,DZA,1989
PRY,BRA,1989
BRA,IRQ,1989
BRA,SAU,1989
BRA,IRN,1989
NZL,SAU,1989
NZL,ARE,1989
NZL,IDN,1989
IDN,IRQ,1989
IDN,IRN,1989
IDN,MYS,1989
CHE,NOR,1989
CHE,GBR,1989
CHE,LBY,1989
GBR,DNK,1989
GBR,MYS,1989
GBR,DEU,1989
THA,ARE,1989
THA,SAU,1989
THA,MYS,1989
CAN,GBR,1989
CAN,NOR,1989
CAN,NGA,1989
TUR,IRQ,1989
TUR,LBY,1989
TUR,IRN,1989
ITA,IDN,1989
FIN,SUN,1989
FIN,SAU,1989
FIN,GBR,1989
DNK,KWT,1989
DNK,NOR,1989
DNK,GBR,1989
CYP,IRQ,1989
CYP,DZA,1989
CYP,SUN,1989
BGD,ARE,1989
BGD,SAU,1989
BGD,IRN,1989
GRC,IRN,1989
GRC,LBY,1989
GRC,SAU,1989
FRA,GRC,1989
FRA,OMN,1989
FRA,CHE,1989
NLD,DNK,1989
NLD,OMN,1989
NLD,DEU,1989
PHL,MYS,1989
PHL,AUS,1989
LKA,MYS,1989
CHL,MYS,1989
SWE,DNK,1989
SWE,CHE,1989
ZWE,CHE,1989
TZA,AUS,1989
ISL,DNK,1989
HUN,DEU,1989
BEL,DEU,1989
AUS,ARE,1990
AUS,SAU,1990
AUS,IDN,1990
PRT,NGA,1990
PRT,SAU,1990
PRT,DZA,1990
NOR,DNK,1990
MEX,CHE,1990
IDN,IRN,1990
IDN,AUS,1990
IDN,IRQ,1990
PRY,DZA,1990
PRY,JPN,1990
PRY,ARG,1990
JPN,ARE,1990
JPN,SAU,1990
JPN,IDN,1990
NZL,SAU,1990
NZL,ARE,1990
NZL,OMN,1990
GBR,DNK,1990
IND,SAU,1990
IND,ARE,1990
IND,IRN,1990
ROU,SAU,1990
ROU,IRN,1990
ROU,EGY,1990
MYS,SAU,1990
MYS,ARE,1990
MYS,KWT,1990
KOR,OMN,1990
KOR,SAU,1990
KOR,ARE,1990
ISR,MEX,1990
CHN,IDN,1990
CHN,MYS,1990
CHN,AUS,1990
CAN,GBR,1990
CAN,NOR,1990
CAN,SAU,1990
SGP,SAU,1990
SGP,ARE,1990
SGP,MYS,1990
THA,MYS,1990
THA,ARE,1990
THA,SAU,1990
DEU,GBR,1990
DEU,LBY,1990
DEU,NOR,1990
MDG,IRN,1990
CHE,LBY,1990
CHE,NOR,1990
CHE,GBR,1990
ESP,NGA,1990
ESP,MEX,1990
ESP,LBY,1990
VEN,MEX,1990
USA,MEX,1990
USA,CAN,1990
USA,IDN,1990
TUR,IRQ,1990
TUR,SAU,1990
TUR,IRN,1990
ITA,MEX,1990
ITA,IDN,1990
ITA,TUR,1990
FRA,MEX,1990
FRA,GRC,1990
FRA,CHE,1990
LKA,IRN,1990
LKA,MYS,1990
LKA,DEU,1990
FIN,SUN,1990
FIN,GBR,1990
FIN,NOR,1990
CHL,NGA,1990
CHL,GAB,1990
CHL,VEN,1990
DNK,NOR,1990
DNK,KWT,1990
DNK,GBR,1990
NLD,MEX,1990
NLD,DNK,1990
NLD,AUS,1990
CYP,IRQ,1990
CYP,DZA,1990
CYP,SUN,1990
BGD,ARE,1990
BGD,SAU,1990
BGD,NOR,1990
BRA,SAU,1990
BRA,IRN,1990
BRA,IRQ,1990
GRC,IRN,1990
GRC,LBY,1990
GRC,SAU,1990
PHL,MYS,1990
PHL,IDN,1990
PHL,AUS,1990
GTM,MEX,1990
HND,MEX,1990
JAM,MEX,1990
DOM,MEX,1990
CRI,MEX,1990
BEL,MEX,1990
AUT,MEX,1990
AUT,DEU,1990
SLV,MEX,1990
DDR,CHE,1990
URY,MEX,1990
SWE,DNK,1990
ISL,DNK,1990
MMR,AUS,1990
HKG,IDN,1990
AUS,IDN,1991
AUS,ARE,1991
AUS,SAU,1991
SGP,SAU,1991
SGP,ARE,1991
SGP,MYS,1991
BRN,MYS,1991
IND,SAU,1991
IND,ARE,1991
IND,IRN,1991
ARE,SAU,1991
MYS,SAU,1991
MYS,ARE,1991
MYS,IDN,1991
ROU,IRN,1991
ROU,SAU,1991
ROU,EGY,1991
GBR,DNK,1991
GBR,MEX,1991
GBR,DEU,1991
CHN,IDN,1991
CHN,MYS,1991
JPN,ARE,1991
JPN,SAU,1991
JPN,IDN,1991
ESP,NGA,1991
ESP,MEX,1991
ESP,SAU,1991
ITA,TUN,1991
ITA,MEX,1991
ITA,IDN,1991
NOR,DNK,1991
CHE,LBY,1991
CHE,GBR,1991
CHE,NOR,1991
