Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,..,6206547590.07403,19134221644.7325,19566715174.1633,20084646751.4954,20323499020.3639,21118473702.3471,20621957125.2077,16345202562.5485,15325233810.1388,15672648238.1005,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Albania,ALB,5530859374.75169,6153077235.62289,11470171826.9575,11918533446.9749,12309839868.7084,12761785703.1071,13025007474.8895,12593390460.142,13722964212.462,14385344334.623,14962975920.9066,15568367220.7999
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Algeria,DZA,91497228539.1792,109811551032.426,187493855609.345,194806115978.439,197728207716.082,200496402625.853,202300870247.92,192185826737.373,199488888151.485,206670488126.832,215143978140.155,223104305329.361
GDP (constant 2015 US$),NY.GDP.MKTP.KD,American Samoa,ASM,..,..,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,656560305.343511,651422900.763359,662725190.839695,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Andorra,AND,1638036865.6592,2240767147.05822,2789882569.1005,2893378230.93931,2903391399.65727,2949519480.26811,3008968450.49925,2672447226.31612,2893907016.25363,3170698001.42141,3252614722.13544,3362287046.47556
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Angola,AGO,31101122148.0954,35182758019.6959,102543067840.732,100799291837.039,100648701499.631,100050434318.105,99845650843.2744,95809443080.1137,97824078558.145,101948344238.666,103236265970.233,107803341999.578
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,830360009.985309,1195677311.61138,1437485185.18519,1496714858.20258,1537316639.9839,1640501407.75149,1692541753.29144,1373179832.3414,1485407940.31841,1620696017.30498,1660036192.7894,1720733551.28694
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Argentina,ARG,265817211205.311,395646066535.875,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066,568636554720.066,602872713790.916,591684674129.454,583738758865.705
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Armenia,ARM,5839777093.95123,3959424772.65728,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15406163977.6894,16315127652.4443
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Aruba,ABW,1553993567.53506,2545966267.78226,2962906703.91061,2999478909.44476,3104263601.09893,3203987172.7481,3243239612.14075,2468170539.29889,2831747261.74117,3132944104.21046,3374393790.1973,3604216215.99837
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,630990273460.742,874926744105.928,1356805839935.9,1394194533274.64,1426167740135.16,1467158231105.1,1499347932643.95,1497345824797.34,1527396783519.68,1592357665099.43,1649424913623.6,1672078242948.22
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Austria,AUT,239296977478.175,309014800203.266,379546097300.633,387581921834.297,396388751744.592,406235924915.185,413365268699.049,387247796560.501,406312360757.929,427972725600.496,424607814488.72,421809268656.554
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,20567069388.6795,12110978466.342,53076235354.746,51450192645.6866,51529227685.0867,52302373078.674,53599371924.6281,51348755387.0791,54232727563.5559,56789627303.7604,57558830022.9022,59902281408.4622
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,8553048576.19105,10500261525.9051,11837600000,11700697195.6515,12095174365.8385,12385211217.3941,12281350586.0076,9814105056.96843,11540027214.2601,12795339943.1948,13185372844.5039,13630862492.2464
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bahrain,BHR,9444382363.28063,16199663949.4689,32523297872.3404,33764059498.7261,35436675410.8102,36164044588.1584,36906448210.9064,34724774104.3146,36235315986.0804,38474716945.1891,39966811156.113,41007465668.6828
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,52852405164.9835,83492876905.7611,195146608978.131,209028320490.615,222803809377.443,239111739541.452,257958323968.613,266852772253.895,285368829855.224,305629528154.311,323279976841.364,336932927922.21
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Barbados,BRB,5012060959.85194,5640486570.73121,5698150000,5783423169.47156,5824392171.7044,5750071519.41267,5763165130.17653,4935303060.93692,4930526775.24948,5779882130.08259,5948328550.31831,6095981657.86298
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belarus,BLR,29435120615.7016,26100310412.7168,56454769844.7632,55028470318.3987,56421892161.1976,58198729025.2815,59040547731.7471,58643356627.7874,60073587228.1282,57275121695.7263,59638602543.5231,62030020167.7391
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belgium,BEL,295130312078.184,367797580320.048,461044767544.531,466547349432.055,473426439010.72,482317238282.145,494099718080.569,470417598101.755,499839663858.827,519614510458.488,528521336864.414,534178915343.837
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belize,BLZ,752917474.31819,1363800371.11261,2193095150,2192684131.16429,2152487028.0072,2170181947.82235,2262557632.66642,1956594233.22066,2308584056.87279,2522139931.98722,2534753858.51431,2623588473.35997
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Benin,BEN,3958255490.40473,6219354272.65514,11388160996.7738,11768488383.3269,12435945492.7429,13268812302.6618,14179807374.6843,14725558723.2985,15779238957.3117,16765906414.7949,17831007125.9788,19159972710.8241
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bermuda,BMU,5127916036.27965,6739895068.97791,6654541000,6610806937.02849,6849550930.14215,6819905984.64909,6840850356.57848,6373786302.28159,6667453991.67615,7099253361.41199,7448338953.24063,7893193425.43486
